state_code,county_code,site_num,parameter_code,POC,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,metric_used,method_name,year,units_of_measure,event_type,observation_count,observation_percent,completeness_indicator,valid_day_count,required_day_count,exceptional_data_count,null_data_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,num_obs_below_MDL,arithmetic_mean,arithmetic_standard_dev,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_non_overlapping_value,first_NO_max_datetime,second_max_non_overlapping_value,second_NO_max_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,address,state_name,county_name,city_name,CBSA_name,date_of_last_change
26,125,1,88101,1,42.463063,-83.183199,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2023,Micrograms/cubic meter (LC),No Events,58,46,N,56,121,0,2,1,1,Certification not required,0,9.862069,11.122,81,6/29/2023 0:00,25.8,6/8/2023 0:00,25.3,6/17/2023 0:00,21.7,1/11/2023 0:00,,,,,81,25.8,25.3,15.9,13.1,7.4,2.9,Oak Park,13701 OAK PARK BLVD (OAK PARK),Michigan,Oakland,Oak Park,"Detroit-Warren-Dearborn, MI",9/27/2023
26,161,8,88101,1,42.240565,-83.599602,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2023,Micrograms/cubic meter (LC),No Events,178,49,N,178,365,0,0,,,Certification not required,0,13.533708,16.934463,139.8,6/28/2023 0:00,134.5,6/27/2023 0:00,108.2,6/29/2023 0:00,55.5,6/7/2023 0:00,,,,,134.5,55.5,32.7,20.7,13.3,9.9,4.7,"TOWNER ST, SOUTH; 2 LANE RESIDENIAL - HOSPITAL",555 TOWNER ST (YPSILANTI),Michigan,Washtenaw,Ypsilanti,"Ann Arbor, MI",9/25/2023
26,163,1,88101,2,42.22862,-83.2082,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2023,Micrograms/cubic meter (LC),No Events,29,24,N,29,121,0,30,1,1,Certification not required,0,14.068966,15.498343,85.4,6/29/2023 0:00,30.3,6/8/2023 0:00,26.4,6/17/2023 0:00,24.3,6/5/2023 0:00,,,,,85.4,85.4,30.3,26.4,17.8,10.2,4,Allen Park,14700 GODDARD (ALLEN PARK),Michigan,Wayne,Allen Park,"Detroit-Warren-Dearborn, MI",9/27/2023
26,163,15,88101,2,42.302786,-83.10653,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2023,Micrograms/cubic meter (LC),No Events,181,50,N,181,365,0,0,,,Certification not required,0,14.470718,14.435611,128.9,6/28/2023 0:00,94.8,6/29/2023 0:00,85.9,6/27/2023 0:00,64.4,6/7/2023 0:00,,,,,94.8,64.4,32.5,22.8,15.8,11.3,5.7,Southwestern H.S.,150 WATERMAN (DETROIT-SW),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",9/25/2023
26,163,19,88101,1,42.43084,-83.000138,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2023,Micrograms/cubic meter (LC),No Events,55,45,N,54,121,0,9,1,1,Certification not required,0,9.389091,10.981696,78.4,6/29/2023 0:00,26.6,6/17/2023 0:00,26.1,6/8/2023 0:00,19.6,6/5/2023 0:00,,,,,78.4,26.6,26.1,15.4,10.3,7.2,2.7,East 7 Mile,11600 EAST SEVEN MILE RD (DETROIT-E7M),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",9/27/2023
26,163,93,88101,1,42.385998,-83.266189,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2023,Micrograms/cubic meter (LC),No Events,146,40,N,146,365,0,0,11,11,Certification not required,0,17.978767,15.452094,112.5,6/28/2023 0:00,88.1,6/29/2023 0:00,77.1,6/27/2023 0:00,75.6,6/6/2023 0:00,,,,,88.1,77.1,53.5,28,18.1,14.3,8.2,ELIZA-NR,23751 FENKELL ST (ELIZA HOWELL-NR),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",9/25/2023
26,163,97,88101,1,42.261669,-83.157893,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2023,Micrograms/cubic meter (LC),No Events,172,47,N,172,365,0,0,10,10,Certification not required,0,16.707558,16.449078,150.4,6/28/2023 0:00,102.5,6/29/2023 0:00,93.3,6/27/2023 0:00,63.4,6/7/2023 0:00,,,,,102.5,63.4,38.3,26.5,18.7,13,6.5,NMH48217 NEW MT HERMAN CHURCH,3225 S DEACON ST (NMH48217),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",9/25/2023
26,163,98,88101,1,42.312158,-83.091943,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2023,Micrograms/cubic meter (LC),No Events,179,49,N,179,365,0,0,,,Certification not required,0,14.355307,14.259561,124.9,6/28/2023 0:00,95.1,6/29/2023 0:00,86.3,6/27/2023 0:00,62.7,6/7/2023 0:00,,,,,95.1,62.7,36.2,21.9,16.2,11.4,5.2,DP4th - Detroit Police 4th Precinct (GHIB),4700 W FORT ST (DP4TH - GHIB),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",9/25/2023
26,163,99,88101,1,42.295824,-83.129431,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2023,Micrograms/cubic meter (LC),No Events,175,48,N,175,365,0,0,,,Certification not required,0,16.316571,16.284013,147.5,6/28/2023 0:00,107.7,6/29/2023 0:00,95.2,6/27/2023 0:00,66.8,6/7/2023 0:00,,,,,107.7,66.8,39.5,24.7,17.4,12.7,6.3,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),9191 W FORT ST (TRINITY),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",9/13/2023
26,163,100,88101,1,42.312078,-83.103469,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2023,Micrograms/cubic meter (LC),No Events,179,49,N,179,365,0,0,9,9,Certification not required,0,16.108939,15.051911,134,6/28/2023 0:00,100,6/29/2023 0:00,88.2,6/27/2023 0:00,67.9,6/7/2023 0:00,,,,,100,67.9,35.7,26.4,18.3,12.8,6.2,Military Park (GHIB),1238 MILITARY ST (MILITARY PARK),Michigan,Wayne,Detroit,"Detroit-Warren-Dearborn, MI",9/25/2023
