county,year,diagnosed_number,diagnosed_adjusted_rate,diagnosed_michigan_rate,death_number,death_adjusted_rate,death_michigan_rate,,,,,
Wayne,2015,10130,494.7,453.2,3721,181.3,166.6,,,,,
Wayne,2016,9739,470.9,461.3,3759,180.2,166.9,,,,,
Wayne,2017,9787,472,446.9,3616,174.4,161.2,,,,,
Wayne,2018,9812,468.3,445.5,3554,167.7,161.5,,,,,
Wayne,2019,9994,470.8,442.3,3615,168.2,156.4,,,,,
Wayne,2020,9045,420,398.4,3476,160.8,160.3,,,,,
Oakland,2015,7250,474.8,453.2,2297,150.8,166.6,,,,,
Oakland,2016,7060,456,461.3,2233,143,166.9,,,,,
Oakland,2017,7235,455.1,446.9,2241,139.5,161.2,,,,,
Oakland,2018,7448,460,445.5,2298,140.8,161.5,,,,,
Oakland,2019,7401,452.1,442.3,2340,140.1,156.4,,,,,
Oakland,2020,6692,405.1,398.4,2213,134.5,160.3,,,,,
Washtenaw,2015,1518,418.2,453.2,528,147.1,166.6,,,,,
Washtenaw,2016,1663,441.5,461.3,540,149.1,166.9,,,,,
Washtenaw,2017,1722,446.4,446.9,504,132.7,161.2,,,,,
Washtenaw,2018,1799,460,445.5,546,141.5,161.5,,,,,
Washtenaw,2019,1714,421.2,442.3,538,135,156.4,,,,,
Washtenaw,2020,1531,379.4,398.4,590,148.8,160.3,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
